,STATENAME,COUNTYNAME,ADDRESS_CITY,ORI9,actual,cleared,data_year,offense,ori,state_abbr
48,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,4,2,2016,aggravated-assault,NH0091400,NH
49,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,0,0,2016,arson,NH0091400,NH
50,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,7,0,2016,burglary,NH0091400,NH
51,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,0,0,2016,homicide,NH0091400,NH
52,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,0,0,2016,human-trafficing,NH0091400,NH
53,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,12,1,2016,larceny,NH0091400,NH
54,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,2,0,2016,motor-vehicle-theft,NH0091400,NH
55,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,21,1,2016,property-crime,NH0091400,NH
56,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,0,0,2016,rape,NH0091400,NH
57,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,0,0,2016,rape-legacy,NH0091400,NH
58,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,0,0,2016,robbery,NH0091400,NH
59,NEW HAMPSHIRE,STRAFFORD,MIDDLETON,NH0091400,4,2,2016,violent-crime,NH0091400,NH
60,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,5,1,2016,aggravated-assault,NH0091600,NH
61,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,1,0,2016,arson,NH0091600,NH
62,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,15,1,2016,burglary,NH0091600,NH
63,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,0,0,2016,homicide,NH0091600,NH
64,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,0,0,2016,human-trafficing,NH0091600,NH
65,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,56,10,2016,larceny,NH0091600,NH
66,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,9,1,2016,motor-vehicle-theft,NH0091600,NH
67,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,80,12,2016,property-crime,NH0091600,NH
68,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,2,0,2016,rape,NH0091600,NH
69,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,0,0,2016,rape-legacy,NH0091600,NH
70,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,0,0,2016,robbery,NH0091600,NH
71,NEW HAMPSHIRE,STRAFFORD,MILTON,NH0091600,7,1,2016,violent-crime,NH0091600,NH
72,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,4,2,2016,aggravated-assault,NH0091800,NH
73,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,0,0,2016,arson,NH0091800,NH
74,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,5,1,2016,burglary,NH0091800,NH
75,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,0,0,2016,homicide,NH0091800,NH
76,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,0,0,2016,human-trafficing,NH0091800,NH
77,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,16,0,2016,larceny,NH0091800,NH
78,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,1,0,2016,motor-vehicle-theft,NH0091800,NH
79,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,22,1,2016,property-crime,NH0091800,NH
80,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,0,0,2016,rape,NH0091800,NH
81,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,0,0,2016,rape-legacy,NH0091800,NH
82,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,0,0,2016,robbery,NH0091800,NH
83,NEW HAMPSHIRE,STRAFFORD,NEW DURHAM,NH0091800,4,2,2016,violent-crime,NH0091800,NH
84,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,77,39,2016,aggravated-assault,NH0092000,NH
85,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,3,0,2016,arson,NH0092000,NH
86,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,137,18,2016,burglary,NH0092000,NH
87,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,1,1,2016,homicide,NH0092000,NH
88,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,0,0,2016,human-trafficing,NH0092000,NH
89,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,837,277,2016,larceny,NH0092000,NH
90,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,36,9,2016,motor-vehicle-theft,NH0092000,NH
