,Unnamed: 0,State,County,Female Civilians,Female Officers,Male Civilians,Male Officers,Crime Cleared Count aggravated-assault,Crime Cleared Count arson,Crime Cleared Count burglary,Crime Cleared Count homicide,Crime Cleared Count human-trafficing,Crime Cleared Count larceny,Crime Cleared Count motor-vehicle-theft,Crime Cleared Count property-crime,Crime Cleared Count rape,Crime Cleared Count rape-legacy,Crime Cleared Count robbery,Crime Cleared Count violent-crime,Total Crime Count aggravated-assault,Total Crime Count arson,Total Crime Count burglary,Total Crime Count homicide,Total Crime Count human-trafficing,Total Crime Count larceny,Total Crime Count motor-vehicle-theft,Total Crime Count property-crime,Total Crime Count rape,Total Crime Count rape-legacy,Total Crime Count robbery,Total Crime Count violent-crime,Total Cleared,Total Crime,Total Clear Rate,Total Female Workforce,Total Male Workforce,Total Workforce,Total Officers,Total Violent Cleared,Total Non-Violent Cleared,Total Violent Crime,Total Non-Violent Crime
483,483,TEXAS,PECOS,18,6,7,32,21,0,13,1,0,36,0,49,0,0,1,23,45,2,88,1,0,182,11,281,6,0,2,54,144,672,0.214285714,24,39,63,38,46,98,108,564
484,484,TEXAS,REFUGIO,15,2,9,20,27,0,8,0,0,12,5,25,1,0,1,29,29,0,14,0,0,42,10,66,1,0,1,31,108,194,0.556701031,17,29,46,22,58,50,62,132
485,485,TEXAS,ROCKWALL,45,13,51,136,29,0,10,1,0,177,14,201,8,0,8,46,49,0,115,1,0,833,99,1047,25,0,11,86,494,2266,0.218005296,58,187,245,149,92,402,172,2094
486,486,TEXAS,SAN SABA,4,2,1,8,1,0,0,0,0,0,0,0,0,0,0,1,3,1,12,0,0,11,5,28,1,0,0,4,2,65,0.030769231,6,9,15,10,2,0,8,57
487,487,TEXAS,SCURRY,23,6,9,23,11,0,12,1,0,69,4,85,2,0,1,15,16,0,104,0,0,261,7,372,3,0,1,20,200,784,0.255102041,29,32,61,29,30,170,40,744
488,488,TEXAS,SHACKELFORD,6,0,2,4,0,0,2,0,0,1,0,3,1,0,0,1,1,0,9,0,0,18,5,32,1,0,0,2,8,68,0.117647059,6,6,12,4,2,6,4,64
489,489,TEXAS,SUTTON,9,1,3,8,0,0,1,0,0,7,0,8,0,0,0,0,0,1,15,0,0,29,0,44,2,0,0,2,16,93,0.172043011,10,11,21,9,0,16,4,89
490,490,TEXAS,THROCKMORTON,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5,6,2,0,0,0,0
491,491,TEXAS,VICTORIA,75,39,50,182,134,1,52,4,0,300,19,371,15,0,22,175,232,11,677,5,0,2011,131,2819,76,0,66,379,1093,6407,0.170594662,114,232,346,221,350,743,758,5649
492,492,TEXAS,WALKER,27,7,23,91,116,1,54,1,0,180,35,269,15,0,12,144,182,1,240,2,0,700,96,1036,47,0,32,263,827,2599,0.318199307,34,114,148,98,288,539,526,2073
