,Unnamed: 0,State,County,Female Civilians,Female Officers,Male Civilians,Male Officers,Crime Cleared Count aggravated-assault,Crime Cleared Count arson,Crime Cleared Count burglary,Crime Cleared Count homicide,Crime Cleared Count human-trafficing,Crime Cleared Count larceny,Crime Cleared Count motor-vehicle-theft,Crime Cleared Count property-crime,Crime Cleared Count rape,Crime Cleared Count rape-legacy,Crime Cleared Count robbery,Crime Cleared Count violent-crime,Total Crime Count aggravated-assault,Total Crime Count arson,Total Crime Count burglary,Total Crime Count homicide,Total Crime Count human-trafficing,Total Crime Count larceny,Total Crime Count motor-vehicle-theft,Total Crime Count property-crime,Total Crime Count rape,Total Crime Count rape-legacy,Total Crime Count robbery,Total Crime Count violent-crime,Total Cleared,Total Crime,Total Clear Rate,Total Female Workforce,Total Male Workforce,Total Workforce,Total Officers,Total Violent Cleared,Total Non-Violent Cleared,Total Violent Crime,Total Non-Violent Crime
503,503,VIRGINIA,ALLEGHANY,20,7,1,49,16,1,6,0,0,18,5,29,3,0,1,20,36,2,31,0,0,87,9,127,4,0,1,41,99,338,0.292899408,27,50,77,56,40,59,82,256
504,504,VIRGINIA,APPOMATTOX,1,2,0,20,8,0,1,0,0,28,1,30,2,0,0,10,11,0,19,1,0,110,5,134,5,0,2,19,80,306,0.261437908,3,20,23,22,20,60,38,268
505,505,VIRGINIA,ARLINGTON,96,108,58,470,136,2,56,1,0,550,34,640,20,0,30,187,209,5,169,1,0,3354,175,3698,58,0,105,373,1656,8147,0.203265006,204,528,732,578,374,1282,746,7401
506,506,VIRGINIA,BLAND,4,0,4,10,1,0,3,0,0,4,0,7,0,0,0,1,1,0,11,0,0,45,3,59,1,0,0,2,16,122,0.131147541,4,14,18,10,2,14,4,118
507,507,VIRGINIA,BOTETOURT,19,11,4,85,21,0,22,0,0,73,12,107,8,0,1,30,23,1,34,0,0,190,13,237,13,0,1,37,274,549,0.499089253,30,89,119,96,60,214,74,475
508,508,VIRGINIA,BRUNSWICK,8,1,3,32,4,0,5,0,0,14,3,22,4,0,0,8,8,0,27,0,0,64,5,96,12,0,1,21,60,234,0.256410256,9,35,44,33,16,44,42,192
509,509,VIRGINIA,CARROLL,2,2,5,47,8,0,10,0,0,43,9,62,5,0,0,13,17,7,98,0,0,280,55,433,7,0,1,25,150,923,0.162513543,4,52,56,49,26,124,50,873
510,510,VIRGINIA,CHARLES CITY,6,1,0,9,3,1,5,0,0,2,2,9,0,0,0,3,3,1,14,0,0,27,4,45,1,0,0,4,25,99,0.252525253,7,9,16,10,6,19,8,91
511,511,VIRGINIA,FRANKLIN,17,11,6,91,56,4,25,0,0,207,28,260,15,0,5,76,68,7,99,1,0,578,44,721,21,0,6,96,676,1641,0.411943937,28,97,125,102,152,524,192,1449
512,512,VIRGINIA,GLOUCESTER,15,8,0,75,15,0,24,1,0,149,14,187,8,0,3,27,22,4,61,1,0,409,37,507,13,0,6,42,428,1102,0.388384755,23,75,98,83,54,374,84,1018
513,513,VIRGINIA,LOUISA,11,2,6,51,24,0,3,0,0,28,4,35,1,0,1,26,45,5,42,3,0,352,26,420,11,0,4,63,122,971,0.125643666,13,57,70,53,52,70,126,845
514,514,VIRGINIA,LUNENBURG,6,2,0,20,10,0,0,1,0,4,3,7,1,0,1,13,14,1,22,1,0,49,6,77,4,0,1,20,40,195,0.205128205,8,20,28,22,26,14,40,155
515,515,VIRGINIA,RICHMOND,14,6,2,26,7,0,2,0,0,7,2,11,2,0,0,9,9,0,14,0,0,53,5,72,1,0,0,10,40,164,0.243902439,20,28,48,32,18,22,20,144
516,516,VIRGINIA,ROANOKE,15,24,1,140,108,1,48,0,0,428,21,497,20,0,9,137,142,3,186,1,0,1156,58,1400,28,0,18,189,1269,3181,0.398931154,39,141,180,164,274,995,378,2803
517,517,VIRGINIA,RUSSELL,10,3,7,47,31,1,13,0,0,117,3,133,24,0,2,57,38,8,88,1,0,259,14,361,15,0,4,58,381,846,0.45035461,13,54,67,50,114,267,116,730
518,518,VIRGINIA,WASHINGTON,14,8,10,83,49,1,19,1,0,243,19,281,5,0,3,58,67,6,164,1,0,725,63,952,18,0,4,90,679,2090,0.324880383,22,93,115,91,116,563,180,1910
519,519,VIRGINIA,WISE,18,5,1,102,26,1,19,2,0,96,7,122,11,0,2,41,31,8,103,2,0,470,25,598,47,0,4,84,327,1372,0.238338192,23,103,126,107,82,245,168,1204
520,520,VIRGINIA,WYTHE,11,5,8,62,27,0,8,0,0,91,12,111,3,0,2,32,31,4,35,1,0,328,27,390,4,0,3,39,286,862,0.331786543,16,70,86,67,64,222,78,784
521,521,VIRGINIA,YORK,8,10,0,76,34,1,42,4,0,380,16,438,30,0,20,88,50,7,125,4,0,1105,45,1275,36,0,34,124,1053,2805,0.37540107,18,76,94,86,176,877,248,2557
522,522,WASHINGTON,ADAMS,13,0,13,34,12,0,22,1,0,59,19,100,3,0,3,19,24,1,141,1,0,327,68,536,7,0,8,40,238,1153,0.20641804,13,47,60,34,38,200,80,1073
523,523,WASHINGTON,ASOTIN,5,1,13,29,20,2,25,1,0,154,0,179,2,0,2,25,28,2,110,1,0,607,34,751,10,0,2,41,410,1586,0.25851198,6,42,48,30,50,360,82,1504
524,524,WASHINGTON,CLALLAM,38,14,19,124,124,5,80,1,0,368,23,471,13,0,6,144,163,11,448,4,0,1377,105,1930,51,0,11,229,1235,4329,0.285285285,52,143,195,138,288,947,458,3871
525,525,WASHINGTON,KING,782,411,388,2788,2007,69,1240,28,0,7968,787,9995,168,26,704,2933,3962,333,16539,57,0,63785,12676,93000,622,181,2736,7558,25925,201449,0.128692622,1193,3176,4369,3199,5866,20059,15116,186333
526,526,WASHINGTON,LEWIS,28,4,2,85,67,2,90,1,0,376,21,487,11,0,19,98,83,10,444,1,0,1585,208,2237,23,0,29,136,1172,4756,0.246425568,32,87,119,89,196,976,272,4484
527,527,WASHINGTON,LINCOLN,3,0,7,17,8,1,16,0,0,22,9,47,0,0,2,10,8,2,54,0,0,90,19,163,2,0,2,12,115,352,0.326704545,3,24,27,17,20,95,24,328
528,528,WASHINGTON,PEND OREILLE,10,1,12,29,13,1,6,0,0,24,1,31,3,0,1,17,18,2,72,0,0,237,28,337,8,0,1,27,97,730,0.132876712,11,41,52,30,34,63,54,676
529,529,WASHINGTON,SAN JUAN,6,1,6,19,4,0,4,1,0,8,0,12,0,0,0,5,7,3,35,1,0,136,6,177,1,0,1,10,34,377,0.090185676,7,25,32,20,10,24,20,357
530,530,WASHINGTON,SKAMANIA,3,1,0,16,4,0,3,0,0,3,2,8,1,0,0,5,7,0,21,0,0,43,6,70,1,0,0,8,26,156,0.166666667,4,16,20,17,10,16,16,140
531,531,WASHINGTON,WALLA WALLA,21,4,14,78,47,0,38,2,0,208,14,260,6,0,7,62,101,18,345,2,0,1416,158,1919,36,0,20,159,644,4174,0.154288452,25,92,117,82,124,520,318,3856
532,532,WEST VIRGINIA,BARBOUR,1,0,1,23,40,0,7,0,0,21,3,31,3,0,0,43,69,2,56,1,0,98,11,165,4,0,1,75,148,482,0.307053942,1,24,25,23,86,62,150,332
533,533,WEST VIRGINIA,BROOKE,10,2,2,35,12,0,7,0,0,40,2,49,1,0,0,13,19,0,31,0,0,84,6,121,3,0,2,24,124,290,0.427586207,12,37,49,37,26,98,48,242
534,534,WEST VIRGINIA,CABELL,22,7,20,208,87,2,63,4,0,515,20,598,9,0,24,124,282,23,1039,5,0,2583,175,3797,54,0,133,474,1446,8565,0.16882662,29,228,257,215,248,1198,948,7617
535,535,WEST VIRGINIA,LOGAN,9,2,3,56,75,1,22,0,0,56,10,88,5,0,4,84,143,5,88,2,0,219,28,335,14,0,11,170,345,1015,0.339901478,11,59,70,58,168,177,340,675
536,536,WEST VIRGINIA,MINERAL,5,2,5,39,25,4,17,1,0,50,5,72,3,0,2,31,41,8,69,1,0,168,11,248,8,0,3,53,210,610,0.344262295,7,44,51,41,62,148,106,504
537,537,WEST VIRGINIA,MINGO,11,0,1,48,29,0,13,3,0,18,2,33,1,0,2,35,45,3,32,3,0,96,10,138,8,0,1,57,136,393,0.34605598,11,49,60,48,70,66,114,279
538,538,WEST VIRGINIA,MONROE,1,0,0,14,14,0,5,0,0,6,0,11,3,0,0,17,13,2,30,0,0,43,4,77,3,0,0,16,56,188,0.29787234,1,14,15,14,34,22,32,156
539,539,WEST VIRGINIA,OHIO,9,6,3,119,79,1,30,0,0,84,5,119,3,0,7,89,265,3,227,1,0,576,39,842,22,0,30,318,417,2323,0.179509255,15,122,137,125,178,239,636,1687
540,540,WEST VIRGINIA,PENDLETON,1,0,0,10,6,0,2,0,0,1,1,4,0,0,0,6,12,0,6,0,0,9,5,20,1,0,0,13,20,66,0.303030303,1,10,11,10,12,8,26,40
541,541,WEST VIRGINIA,TYLER,2,1,0,18,6,0,7,0,0,2,3,12,2,0,0,8,15,1,24,0,0,25,3,52,4,0,0,19,40,143,0.27972028,3,18,21,19,16,24,38,105
542,542,WEST VIRGINIA,UPSHUR,2,0,3,33,7,0,8,1,0,95,8,111,4,0,2,14,11,2,47,1,0,295,31,373,5,0,3,20,250,788,0.317258883,2,36,38,33,28,222,40,748
543,543,WEST VIRGINIA,WEBSTER,1,0,2,17,44,0,5,0,0,12,2,19,1,0,0,45,43,0,12,0,0,21,6,39,0,0,0,43,128,164,0.780487805,1,19,20,17,90,38,86,78
544,544,WISCONSIN,BARRON,22,6,16,58,16,0,24,0,0,128,5,157,1,0,0,17,20,1,129,0,0,391,15,535,5,0,1,26,348,1123,0.309884239,28,74,102,64,34,314,52,1071
545,545,WISCONSIN,BROWN,112,49,109,434,314,3,107,6,0,1216,47,1370,35,0,39,394,454,12,730,11,0,3361,172,4263,112,0,78,655,3531,9848,0.358549959,161,543,704,483,788,2743,1310,8538
546,546,WISCONSIN,COLUMBIA,43,8,38,92,44,2,35,3,0,173,10,218,1,3,3,54,59,4,111,4,0,632,24,767,8,6,4,81,546,1700,0.321176471,51,130,181,100,108,438,162,1538
547,547,WISCONSIN,DODGE,61,12,49,130,42,0,34,1,0,247,9,290,4,1,4,52,53,3,166,1,0,680,17,863,15,1,6,76,684,1881,0.363636364,73,179,252,142,104,580,152,1729
548,548,WISCONSIN,GREEN,19,9,7,64,20,0,6,0,0,41,2,49,0,2,0,22,24,0,65,0,0,291,12,368,0,5,0,29,142,794,0.17884131,28,71,99,73,44,98,58,736
549,549,WISCONSIN,JACKSON,18,5,9,27,9,0,13,2,0,55,6,74,0,1,0,12,12,1,79,0,0,152,31,262,0,5,3,20,172,565,0.304424779,23,36,59,32,24,148,40,525
550,550,WISCONSIN,ROCK,77,28,61,278,168,2,120,3,0,983,54,1157,0,19,41,231,220,22,558,3,0,2885,127,3570,0,57,90,370,2778,7902,0.351556568,105,339,444,306,462,2316,740,7162
551,551,WISCONSIN,SAWYER,13,7,10,26,11,1,23,1,0,25,6,54,1,0,1,14,22,2,66,1,0,187,14,267,4,0,3,30,137,596,0.229865772,20,36,56,33,28,109,60,536
552,552,WISCONSIN,TAYLOR,14,2,10,29,15,1,5,1,0,76,8,89,0,0,0,16,18,1,15,1,0,205,13,233,0,2,0,21,211,509,0.41453831,16,39,55,31,32,179,42,467
553,553,WISCONSIN,VILAS,25,7,12,47,48,0,38,0,0,170,10,218,9,1,1,59,50,1,120,0,0,385,15,520,11,1,1,63,554,1167,0.474721508,32,59,91,54,118,436,126,1041
554,554,WYOMING,CARBON,28,4,3,37,17,2,7,0,0,85,9,101,6,0,1,24,17,2,49,0,0,257,22,328,7,0,1,25,252,708,0.355932203,32,40,72,41,48,204,50,658
555,555,WYOMING,FREMONT,18,8,5,93,124,1,26,1,0,391,33,450,5,0,3,133,190,4,104,1,0,986,106,1196,28,0,5,224,1167,2844,0.410337553,26,98,124,101,266,901,448,2396
556,556,WYOMING,LARAMIE,135,20,123,288,93,0,16,5,0,138,14,168,7,0,5,110,183,7,477,8,0,2204,258,2939,36,0,18,245,556,6375,0.087215686,155,411,566,308,220,336,490,5885
557,557,WYOMING,SUBLETTE,4,1,0,27,0,0,3,0,0,19,1,23,0,0,1,1,2,0,5,0,0,69,5,79,0,0,1,3,48,164,0.292682927,5,27,32,28,2,46,6,158
558,558,WYOMING,UINTA,17,6,1,54,10,0,12,1,0,123,6,141,0,0,0,11,13,0,29,2,0,361,17,407,2,0,2,19,304,852,0.356807512,23,55,78,60,22,282,38,814
559,559,WYOMING,WASHAKIE,3,3,0,21,0,0,7,0,0,27,2,36,0,0,0,0,3,0,22,0,0,50,4,76,3,0,0,6,72,164,0.43902439,6,21,27,24,0,72,12,152
