PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,11100,"Amarillo, TX",33-3021,Detectives and Criminal Investigators,detailed,70,2.0,0.588,0.79,27.85,"57,930",9.2,15.04,19.24,26.33,31.04,45.53,"31,280","40,020","54,760","64,570","94,690",,
TX,11100,"Amarillo, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,730,6.9,6.336,1.35,29.15,"60,630",2.2,20.39,24.11,28.91,34.76,38.33,"42,410","50,140","60,140","72,290","79,730",,
TX,12420,"Austin-Round Rock, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,260,3.8,0.265,0.37,46.44,"96,600",4.0,32.14,37.88,46.65,52.79,61.56,"66,860","78,800","97,030","109,790","128,050",,
TX,12420,"Austin-Round Rock, TX",33-3012,Correctional Officers and Jailers,detailed,"2,100",4.2,2.173,0.71,20.71,"43,080",4.1,13.05,16.79,19.70,23.73,29.17,"27,150","34,910","40,970","49,360","60,670",,
TX,12420,"Austin-Round Rock, TX",33-3021,Detectives and Criminal Investigators,detailed,"1,550",0.7,1.602,2.14,32.55,"67,710",10.7,17.54,22.14,30.52,43.25,48.58,"36,480","46,050","63,490","89,960","101,040",,
TX,12420,"Austin-Round Rock, TX",33-3031,Fish and Game Wardens,detailed,60,3.4,0.059,1.26,31.19,"64,880",2.8,23.24,27.34,31.83,35.58,38.16,"48,350","56,870","66,200","74,000","79,360",,
TX,12420,"Austin-Round Rock, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,"4,220",3.3,4.374,0.93,33.32,"69,300",5.2,20.48,26.10,33.22,38.71,47.56,"42,600","54,300","69,090","80,530","98,930",,
TX,12420,"Austin-Round Rock, TX",33-9021,Private Detectives and Investigators,detailed,70,33.0,0.070,0.34,23.87,"49,660",13.2,13.20,14.48,21.63,32.52,38.79,"27,460","30,120","45,000","67,640","80,690",,
TX,13140,"Beaumont-Port Arthur, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,50,13.2,0.295,0.41,43.15,"89,750",4.4,28.69,32.96,41.41,49.09,67.97,"59,670","68,550","86,130","102,110","141,370",,
TX,13140,"Beaumont-Port Arthur, TX",33-3012,Correctional Officers and Jailers,detailed,"1,590",0.4,9.804,3.19,21.67,"45,070",4.2,16.79,18.78,21.09,23.95,28.42,"34,920","39,060","43,870","49,810","59,110",,
TX,13140,"Beaumont-Port Arthur, TX",33-3021,Detectives and Criminal Investigators,detailed,120,2.9,0.719,0.96,31.38,"65,260",12.1,16.19,19.48,26.09,38.11,60.89,"33,680","40,520","54,270","79,260","126,650",,
TX,13140,"Beaumont-Port Arthur, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,950,3.2,5.865,1.25,30.08,"62,570",2.2,21.61,26.09,29.78,35.22,39.04,"44,950","54,270","61,950","73,260","81,210",,
TX,15180,"Brownsville-Harlingen, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,50,12.7,0.339,0.48,52.19,"108,550",5.3,24.31,34.78,61.96,67.97,71.97,"50,570","72,340","128,880","141,370","149,690",,
TX,15180,"Brownsville-Harlingen, TX",33-3012,Correctional Officers and Jailers,detailed,410,0.0,2.966,0.96,16.17,"33,630",3.2,12.41,13.04,14.09,15.14,26.89,"25,810","27,120","29,300","31,480","55,920",,
TX,15180,"Brownsville-Harlingen, TX",33-3021,Detectives and Criminal Investigators,detailed,780,0.3,5.679,7.60,38.30,"79,660",5.3,27.93,37.55,38.69,38.70,49.79,"58,100","78,110","80,480","80,490","103,550",,
TX,15180,"Brownsville-Harlingen, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,"1,010",2.4,7.329,1.56,25.34,"52,700",6.5,15.43,17.71,23.36,32.94,38.24,"32,100","36,840","48,580","68,510","79,540",,
TX,17780,"College Station-Bryan, TX",33-3012,Correctional Officers and Jailers,detailed,**,**,**,**,19.89,"41,380",3.9,16.05,17.32,19.29,21.10,25.66,"33,390","36,030","40,120","43,880","53,380",,
TX,17780,"College Station-Bryan, TX",33-3021,Detectives and Criminal Investigators,detailed,30,17.3,0.302,0.40,22.62,"47,040",4.4,15.25,16.76,21.60,26.10,37.23,"31,720","34,860","44,930","54,290","77,440",,
TX,17780,"College Station-Bryan, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,580,20.5,5.450,1.16,27.89,"58,020",3.1,17.86,22.23,27.67,34.12,38.44,"37,160","46,230","57,550","70,980","79,950",,
TX,18580,"Corpus Christi, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,70,5.4,0.392,0.55,51.68,"107,490",5.3,26.18,30.59,52.15,73.36,73.37,"54,460","63,630","108,480","152,590","152,600",,
