,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
890, NY,Buffalo-Cheektowaga-Niagara Falls,First-Line Supervisors of Police and Detectives,540,0.993,42.38,"88,150",40.23,"83,670"
891, NY,Buffalo-Cheektowaga-Niagara Falls,Correctional Officers and Jailers,"1,840",3.350,29.96,"62,310",31.12,"64,740"
892, NY,Buffalo-Cheektowaga-Niagara Falls,Detectives and Criminal Investigators,740,1.341,40.40,"84,030",38.53,"80,140"
893, NY,Buffalo-Cheektowaga-Niagara Falls,Police and Sheriff's Patrol Officers,"2,210",4.022,31.15,"64,790",31.73,"66,000"
894, NY Metropolitan Division,Dutchess County-Putnam County,First-Line Supervisors of Police and Detectives,140,1.036,48.27,"100,410",47.91,"99,660"
895, NY Metropolitan Division,Dutchess County-Putnam County,Correctional Officers and Jailers,"2,070",14.890,29.14,"60,600",29.03,"60,380"
896, NY Metropolitan Division,Dutchess County-Putnam County,Detectives and Criminal Investigators,160,1.116,44.13,"91,780",44.86,"93,300"
897, NY Metropolitan Division,Dutchess County-Putnam County,Police and Sheriff's Patrol Officers,680,4.873,34.79,"72,360",35.75,"74,360"
898, NY,Elmira,Correctional Officers and Jailers,860,23.869,30.15,"62,720",30.73,"63,920"
899, NY,Elmira,Police and Sheriff's Patrol Officers,90,2.366,33.32,"69,300",31.67,"65,870"
900, NY,Glens Falls,First-Line Supervisors of Police and Detectives,40,0.771,35.68,"74,220",34.39,"71,530"
901, NY,Glens Falls,Correctional Officers and Jailers,880,17.114,28.88,"60,070",29.64,"61,640"
902, NY,Glens Falls,Detectives and Criminal Investigators,60,1.099,28.39,"59,060",28.49,"59,260"
903, NY,Glens Falls,Police and Sheriff's Patrol Officers,190,3.646,25.15,"52,320",24.31,"50,560"
904, NY,Ithaca,First-Line Supervisors of Police and Detectives,60,1.145,45.71,"95,080",44.64,"92,850"
905, NY,Ithaca,Police and Sheriff's Patrol Officers,**,**,31.37,"65,250",32.20,"66,980"
906, NY,Kingston,First-Line Supervisors of Police and Detectives,80,1.387,42.73,"88,870",40.39,"84,020"
907, NY,Kingston,Detectives and Criminal Investigators,60,0.995,36.11,"75,110",35.95,"74,780"
908, NY,Kingston,Police and Sheriff's Patrol Officers,370,6.255,28.35,"58,980",27.60,"57,400"
909, NY Metropolitan Division,Nassau County-Suffolk County,First-Line Supervisors of Police and Detectives,"1,150",0.895,70.43,"146,500",71.78,"149,290"
910, NY Metropolitan Division,Nassau County-Suffolk County,Correctional Officers and Jailers,"1,460",1.135,38.68,"80,460",41.75,"86,840"
911, NY Metropolitan Division,Nassau County-Suffolk County,Detectives and Criminal Investigators,"1,190",0.928,59.13,"122,980",61.73,"128,400"
912, NY Metropolitan Division,Nassau County-Suffolk County,Police and Sheriff's Patrol Officers,"4,970",3.860,48.30,"100,470",53.74,"111,770"
913, NY Metropolitan Division,Nassau County-Suffolk County,Private Detectives and Investigators,150,0.119,23.67,"49,230",20.59,"42,820"
914, NY-NJ Metropolitan Division,New York-Jersey City-White Plains,First-Line Supervisors of Police and Detectives,"9,510",1.443,53.48,"111,240",51.86,"107,870"
915, NY-NJ Metropolitan Division,New York-Jersey City-White Plains,Correctional Officers and Jailers,"14,350",2.179,32.68,"67,970",33.75,"70,200"
916, NY-NJ Metropolitan Division,New York-Jersey City-White Plains,Detectives and Criminal Investigators,"5,330",0.809,41.17,"85,640",37.43,"77,860"
917, NY-NJ Metropolitan Division,New York-Jersey City-White Plains,Fish and Game Wardens,40,0.006,34.69,"72,150",33.28,"69,230"
