,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
1070, PR,Guayama,Police and Sheriff's Patrol Officers,100,8.876,10.05,"20,900",9.25,"19,230"
1071, PR,Mayagüez,Police and Sheriff's Patrol Officers,100,3.347,9.41,"19,570",9.16,"19,050"
1072, PR,Ponce,First-Line Supervisors of Police and Detectives,120,1.860,13.76,"28,630",11.22,"23,340"
1073, PR,Ponce,Police and Sheriff's Patrol Officers,420,6.762,9.83,"20,450",9.82,"20,430"
1074, PR,San German,Police and Sheriff's Patrol Officers,90,5.120,9.17,"19,070",9.08,"18,880"
1075, PR,San Juan-Carolina-Caguas,First-Line Supervisors of Police and Detectives,"2,790",4.158,17.95,"37,340",17.30,"35,980"
1076, PR,San Juan-Carolina-Caguas,Detectives and Criminal Investigators,560,0.840,30.26,"62,950",21.25,"44,190"
1077, PR,San Juan-Carolina-Caguas,Police and Sheriff's Patrol Officers,"14,400",21.432,15.44,"32,110",16.01,"33,300"
1078, PR,San Juan-Carolina-Caguas,Private Detectives and Investigators,60,0.085,17.80,"37,030",19.90,"41,390"
1079, RI-MA,Providence-Warwick,First-Line Supervisors of Police and Detectives,730,1.288,39.84,"82,870",38.05,"79,150"
1080, RI-MA,Providence-Warwick,Detectives and Criminal Investigators,320,0.565,40.88,"85,020",36.87,"76,680"
1081, RI-MA,Providence-Warwick,Police and Sheriff's Patrol Officers,"2,510",4.445,27.83,"57,880",27.79,"57,790"
1082, SC,Charleston-North Charleston,First-Line Supervisors of Police and Detectives,280,0.857,31.02,"64,510",28.04,"58,320"
1083, SC,Charleston-North Charleston,Correctional Officers and Jailers,780,2.375,16.50,"34,320",16.44,"34,200"
1084, SC,Charleston-North Charleston,Detectives and Criminal Investigators,120,0.379,43.20,"89,850",48.37,"100,610"
1085, SC,Charleston-North Charleston,Police and Sheriff's Patrol Officers,"1,920",5.845,21.23,"44,150",21.24,"44,180"
1086, SC,Columbia,First-Line Supervisors of Police and Detectives,270,0.720,31.52,"65,550",28.25,"58,760"
1087, SC,Columbia,Correctional Officers and Jailers,"1,810",4.830,15.16,"31,520",14.35,"29,850"
1088, SC,Columbia,Detectives and Criminal Investigators,370,0.983,30.59,"63,620",26.04,"54,170"
1089, SC,Columbia,Police and Sheriff's Patrol Officers,"2,920",7.827,22.24,"46,260",19.63,"40,840"
1090, SC,Florence,First-Line Supervisors of Police and Detectives,80,0.975,28.48,"59,240",26.63,"55,390"
1091, SC,Florence,Correctional Officers and Jailers,120,1.417,13.04,"27,130",13.01,"27,050"
1092, SC,Florence,Detectives and Criminal Investigators,80,0.970,24.20,"50,330",18.33,"38,120"
1093, SC,Florence,Police and Sheriff's Patrol Officers,520,6.219,18.02,"37,480",16.77,"34,870"
1094, SC,Greenville-Anderson-Mauldin,First-Line Supervisors of Police and Detectives,320,0.803,27.50,"57,200",26.35,"54,810"
1095, SC,Greenville-Anderson-Mauldin,Correctional Officers and Jailers,500,1.260,17.74,"36,890",16.47,"34,250"
1096, SC,Greenville-Anderson-Mauldin,Detectives and Criminal Investigators,170,0.428,29.41,"61,180",23.73,"49,360"
1097, SC,Greenville-Anderson-Mauldin,Police and Sheriff's Patrol Officers,"1,730",4.360,18.89,"39,280",18.07,"37,590"
1098, SC,Hilton Head Island-Bluffton-Beaufort,First-Line Supervisors of Police and Detectives,80,1.161,34.64,"72,060",34.69,"72,160"
1099, SC,Hilton Head Island-Bluffton-Beaufort,Correctional Officers and Jailers,190,2.670,15.75,"32,770",15.56,"32,360"
1100, SC,Hilton Head Island-Bluffton-Beaufort,Police and Sheriff's Patrol Officers,430,5.902,22.78,"47,370",22.18,"46,130"
1101, SC,Hilton Head Island-Bluffton-Beaufort,Private Detectives and Investigators,**,**,21.63,"45,000",21.92,"45,600"
1102, SC-NC,Myrtle Beach-Conway-North Myrtle Beach,First-Line Supervisors of Police and Detectives,190,1.242,28.04,"58,330",27.06,"56,280"
1103, SC-NC,Myrtle Beach-Conway-North Myrtle Beach,Correctional Officers and Jailers,310,2.042,17.22,"35,820",17.18,"35,730"
1104, SC-NC,Myrtle Beach-Conway-North Myrtle Beach,Detectives and Criminal Investigators,100,0.653,22.46,"46,720",21.49,"44,690"
1105, SC-NC,Myrtle Beach-Conway-North Myrtle Beach,Police and Sheriff's Patrol Officers,880,5.785,19.75,"41,080",18.94,"39,390"
1106, SC,Spartanburg,First-Line Supervisors of Police and Detectives,100,0.711,27.06,"56,280",25.95,"53,970"
1107, SC,Spartanburg,Correctional Officers and Jailers,460,3.217,15.52,"32,290",15.32,"31,870"
1108, SC,Spartanburg,Police and Sheriff's Patrol Officers,690,4.824,18.64,"38,770",18.30,"38,050"
1109, SC,Sumter,Correctional Officers and Jailers,210,5.852,14.99,"31,170",14.31,"29,760"
1110, SC,Sumter,Detectives and Criminal Investigators,40,1.013,18.73,"38,960",18.10,"37,650"
1111, SC,Sumter,Police and Sheriff's Patrol Officers,180,4.976,17.23,"35,830",15.88,"33,020"
1112, SD,Rapid City,First-Line Supervisors of Police and Detectives,30,0.507,40.02,"83,230",41.08,"85,450"
1113, SD,Rapid City,Correctional Officers and Jailers,180,2.789,21.72,"45,170",21.66,"45,040"
1114, SD,Rapid City,Detectives and Criminal Investigators,70,1.010,35.11,"73,030",29.38,"61,100"
1115, SD,Rapid City,Police and Sheriff's Patrol Officers,320,4.894,22.71,"47,250",22.09,"45,940"
1116, SD,Sioux Falls,Detectives and Criminal Investigators,50,0.340,44.69,"92,950",45.52,"94,680"
1117, SD,Sioux Falls,Police and Sheriff's Patrol Officers,420,2.786,28.12,"58,480",28.86,"60,030"
1118, TN-GA,Chattanooga,First-Line Supervisors of Police and Detectives,270,1.136,29.14,"60,610",27.79,"57,800"
1119, TN-GA,Chattanooga,Correctional Officers and Jailers,**,**,14.57,"30,310",14.10,"29,320"
1120, TN-GA,Chattanooga,Detectives and Criminal Investigators,140,0.597,28.07,"58,380",21.75,"45,250"
1121, TN-GA,Chattanooga,Police and Sheriff's Patrol Officers,"1,130",4.741,19.10,"39,720",18.77,"39,050"
1122, TN-KY,Clarksville,First-Line Supervisors of Police and Detectives,120,1.419,21.48,"44,690",20.21,"42,050"
1123, TN-KY,Clarksville,Detectives and Criminal Investigators,30,0.359,25.54,"53,120",23.59,"49,080"
1124, TN-KY,Clarksville,Police and Sheriff's Patrol Officers,420,4.968,*,*,*,*
1125, TN,Cleveland,Police and Sheriff's Patrol Officers,230,4.853,18.63,"38,760",18.40,"38,280"
1126, TN,Jackson,First-Line Supervisors of Police and Detectives,90,1.483,30.06,"62,530",29.86,"62,110"
1127, TN,Jackson,Detectives and Criminal Investigators,50,0.710,29.39,"61,130",23.95,"49,810"
1128, TN,Jackson,Police and Sheriff's Patrol Officers,300,4.776,21.94,"45,630",22.08,"45,930"
1129, TN,Johnson City,First-Line Supervisors of Police and Detectives,100,1.328,28.17,"58,580",24.22,"50,370"
1130, TN,Johnson City,Correctional Officers and Jailers,230,2.915,14.73,"30,630",14.50,"30,150"
1131, TN,Johnson City,Police and Sheriff's Patrol Officers,350,4.443,20.50,"42,640",20.19,"41,990"
1132, TN-VA,Kingsport-Bristol-Bristol,First-Line Supervisors of Police and Detectives,160,1.339,29.70,"61,780",29.09,"60,500"
1133, TN-VA,Kingsport-Bristol-Bristol,Correctional Officers and Jailers,250,2.087,15.97,"33,230",16.12,"33,530"
1134, TN-VA,Kingsport-Bristol-Bristol,Detectives and Criminal Investigators,40,0.371,35.38,"73,600",28.72,"59,740"
1135, TN-VA,Kingsport-Bristol-Bristol,Police and Sheriff's Patrol Officers,660,5.571,21.15,"43,990",20.19,"42,000"
1136, TN,Knoxville,First-Line Supervisors of Police and Detectives,410,1.063,29.54,"61,430",28.02,"58,280"
1137, TN,Knoxville,Correctional Officers and Jailers,"1,180",3.079,15.22,"31,660",14.78,"30,740"
1138, TN,Knoxville,Detectives and Criminal Investigators,170,0.452,33.76,"70,220",27.43,"57,050"
1139, TN,Knoxville,Police and Sheriff's Patrol Officers,"1,290",3.376,20.49,"42,620",20.06,"41,730"
1140, TN,Knoxville,Private Detectives and Investigators,260,0.680,29.27,"60,880",28.25,"58,750"
1141, TN-MS-AR,Memphis,First-Line Supervisors of Police and Detectives,890,1.424,31.52,"65,560",30.66,"63,760"
1142, TN-MS-AR,Memphis,Correctional Officers and Jailers,"1,790",2.863,18.39,"38,240",18.57,"38,630"
1143, TN-MS-AR,Memphis,Detectives and Criminal Investigators,220,0.356,35.44,"73,710",29.67,"61,720"
1144, TN-MS-AR,Memphis,Police and Sheriff's Patrol Officers,"3,630",5.813,23.49,"48,860",25.29,"52,610"
1145, TN-MS-AR,Memphis,Private Detectives and Investigators,70,0.104,*,*,*,*
1146, TN,Morristown,First-Line Supervisors of Police and Detectives,100,2.398,24.87,"51,740",24.03,"49,980"
1147, TN,Morristown,Police and Sheriff's Patrol Officers,350,8.240,15.75,"32,760",16.26,"33,820"
1148, TN,Nashville-Davidson--Murfreesboro--Franklin,First-Line Supervisors of Police and Detectives,"1,060",1.165,30.74,"63,950",30.04,"62,470"
1149, TN,Nashville-Davidson--Murfreesboro--Franklin,Correctional Officers and Jailers,"2,110",2.308,15.52,"32,280",14.79,"30,770"
1150, TN,Nashville-Davidson--Murfreesboro--Franklin,Detectives and Criminal Investigators,470,0.519,37.39,"77,760",28.91,"60,120"
1151, TN,Nashville-Davidson--Murfreesboro--Franklin,Fish and Game Wardens,70,0.077,32.87,"68,370",33.64,"69,980"
1152, TN,Nashville-Davidson--Murfreesboro--Franklin,Police and Sheriff's Patrol Officers,"2,980",3.269,22.65,"47,110",22.15,"46,080"
1153, TN,Nashville-Davidson--Murfreesboro--Franklin,Private Detectives and Investigators,80,0.093,25.36,"52,760",22.18,"46,130"
1154, TX,Abilene,Correctional Officers and Jailers,890,13.865,18.88,"39,260",19.31,"40,170"
1155, TX,Abilene,Detectives and Criminal Investigators,40,0.700,23.96,"49,830",21.33,"44,370"
1156, TX,Abilene,Police and Sheriff's Patrol Officers,400,6.313,27.41,"57,020",29.08,"60,480"
1157, TX,Amarillo,Correctional Officers and Jailers,"1,120",9.736,19.58,"40,730",19.87,"41,330"
1158, TX,Amarillo,Detectives and Criminal Investigators,70,0.588,27.85,"57,930",26.33,"54,760"
1159, TX,Amarillo,Police and Sheriff's Patrol Officers,730,6.336,29.15,"60,630",28.91,"60,140"
1160, TX,Austin-Round Rock,First-Line Supervisors of Police and Detectives,260,0.265,46.44,"96,600",46.65,"97,030"
1161, TX,Austin-Round Rock,Correctional Officers and Jailers,"2,100",2.173,20.71,"43,080",19.70,"40,970"
1162, TX,Austin-Round Rock,Detectives and Criminal Investigators,"1,550",1.602,32.55,"67,710",30.52,"63,490"
1163, TX,Austin-Round Rock,Fish and Game Wardens,60,0.059,31.19,"64,880",31.83,"66,200"
1164, TX,Austin-Round Rock,Police and Sheriff's Patrol Officers,"4,220",4.374,33.32,"69,300",33.22,"69,090"
1165, TX,Austin-Round Rock,Private Detectives and Investigators,70,0.070,23.87,"49,660",21.63,"45,000"
1166, TX,Beaumont-Port Arthur,First-Line Supervisors of Police and Detectives,50,0.295,43.15,"89,750",41.41,"86,130"
1167, TX,Beaumont-Port Arthur,Correctional Officers and Jailers,"1,590",9.804,21.67,"45,070",21.09,"43,870"
1168, TX,Beaumont-Port Arthur,Detectives and Criminal Investigators,120,0.719,31.38,"65,260",26.09,"54,270"
1169, TX,Beaumont-Port Arthur,Police and Sheriff's Patrol Officers,950,5.865,30.08,"62,570",29.78,"61,950"
1170, TX,Brownsville-Harlingen,First-Line Supervisors of Police and Detectives,50,0.339,52.19,"108,550",61.96,"128,880"
1171, TX,Brownsville-Harlingen,Correctional Officers and Jailers,410,2.966,16.17,"33,630",14.09,"29,300"
1172, TX,Brownsville-Harlingen,Detectives and Criminal Investigators,780,5.679,38.30,"79,660",38.69,"80,480"
1173, TX,Brownsville-Harlingen,Police and Sheriff's Patrol Officers,"1,010",7.329,25.34,"52,700",23.36,"48,580"
1174, TX,College Station-Bryan,Correctional Officers and Jailers,**,**,19.89,"41,380",19.29,"40,120"
1175, TX,College Station-Bryan,Detectives and Criminal Investigators,30,0.302,22.62,"47,040",21.60,"44,930"
1176, TX,College Station-Bryan,Police and Sheriff's Patrol Officers,580,5.450,27.89,"58,020",27.67,"57,550"
1177, TX,Corpus Christi,First-Line Supervisors of Police and Detectives,70,0.392,51.68,"107,490",52.15,"108,480"
1178, TX,Corpus Christi,Detectives and Criminal Investigators,290,1.560,35.36,"73,550",34.59,"71,950"
1179, TX,Corpus Christi,Police and Sheriff's Patrol Officers,870,4.695,27.54,"57,280",26.69,"55,510"
1180, TX Metropolitan Division,Dallas-Plano-Irving,First-Line Supervisors of Police and Detectives,290,0.120,57.29,"119,170",59.09,"122,900"
1181, TX Metropolitan Division,Dallas-Plano-Irving,Correctional Officers and Jailers,"4,260",1.751,20.92,"43,510",19.31,"40,160"
1182, TX Metropolitan Division,Dallas-Plano-Irving,Detectives and Criminal Investigators,"1,100",0.454,45.37,"94,360",42.39,"88,180"
1183, TX Metropolitan Division,Dallas-Plano-Irving,Police and Sheriff's Patrol Officers,"10,390",4.276,31.38,"65,280",30.95,"64,380"
1184, TX Metropolitan Division,Dallas-Plano-Irving,Private Detectives and Investigators,**,**,17.87,"37,160",17.62,"36,640"
1185, TX,El Paso,First-Line Supervisors of Police and Detectives,120,0.416,55.08,"114,570",63.96,"133,050"
1186, TX,El Paso,Detectives and Criminal Investigators,"1,730",5.818,39.32,"81,780",38.69,"80,480"
1187, TX,El Paso,Police and Sheriff's Patrol Officers,"1,890",6.335,30.37,"63,170",31.45,"65,410"
1188, TX Metropolitan Division,Fort Worth-Arlington,First-Line Supervisors of Police and Detectives,200,0.200,47.80,"99,420",45.71,"95,080"
1189, TX Metropolitan Division,Fort Worth-Arlington,Correctional Officers and Jailers,"2,170",2.211,18.76,"39,020",17.91,"37,260"
1190, TX Metropolitan Division,Fort Worth-Arlington,Detectives and Criminal Investigators,670,0.684,31.79,"66,120",27.55,"57,300"
1191, TX Metropolitan Division,Fort Worth-Arlington,Police and Sheriff's Patrol Officers,"5,580",5.685,32.19,"66,950",32.95,"68,540"
1192, TX Metropolitan Division,Fort Worth-Arlington,Transit and Railroad Police,90,0.091,30.96,"64,400",28.73,"59,760"
1193, TX Metropolitan Division,Fort Worth-Arlington,Private Detectives and Investigators,**,**,28.22,"58,700",27.26,"56,700"
1194, TX,Houston-The Woodlands-Sugar Land,First-Line Supervisors of Police and Detectives,440,0.149,50.95,"105,980",46.66,"97,040"
1195, TX,Houston-The Woodlands-Sugar Land,Correctional Officers and Jailers,"8,100",2.761,21.16,"44,020",20.80,"43,270"
1196, TX,Houston-The Woodlands-Sugar Land,Detectives and Criminal Investigators,"1,720",0.588,42.90,"89,220",36.03,"74,950"
1197, TX,Houston-The Woodlands-Sugar Land,Fish and Game Wardens,40,0.012,32.82,"68,260",34.08,"70,890"
1198, TX,Houston-The Woodlands-Sugar Land,Police and Sheriff's Patrol Officers,"16,110",5.488,30.28,"62,980",31.02,"64,520"
1199, TX,Houston-The Woodlands-Sugar Land,Transit and Railroad Police,220,0.073,*,*,*,*
1200, TX,Killeen-Temple,First-Line Supervisors of Police and Detectives,40,0.308,36.39,"75,700",31.97,"66,510"
1201, TX,Killeen-Temple,Correctional Officers and Jailers,"1,990",14.493,19.41,"40,360",19.88,"41,340"
1202, TX,Killeen-Temple,Detectives and Criminal Investigators,60,0.470,25.40,"52,840",21.94,"45,640"
1203, TX,Killeen-Temple,Police and Sheriff's Patrol Officers,990,7.219,25.86,"53,800",25.55,"53,140"
1204, TX,Laredo,First-Line Supervisors of Police and Detectives,50,0.492,55.58,"115,600",62.09,"129,150"
1205, TX,Laredo,Detectives and Criminal Investigators,"1,180",12.048,36.67,"76,280",37.64,"78,290"
1206, TX,Laredo,Police and Sheriff's Patrol Officers,860,8.830,30.27,"62,960",32.04,"66,640"
1207, TX,Longview,Detectives and Criminal Investigators,60,0.643,23.56,"49,000",22.39,"46,580"
1208, TX,Longview,Police and Sheriff's Patrol Officers,520,5.396,24.35,"50,640",23.24,"48,330"
1209, TX,Longview,Private Detectives and Investigators,**,**,20.58,"42,810",22.37,"46,540"
1210, TX,Lubbock,First-Line Supervisors of Police and Detectives,30,0.229,46.27,"96,240",46.66,"97,040"
1211, TX,Lubbock,Detectives and Criminal Investigators,220,1.542,29.17,"60,670",27.96,"58,160"
1212, TX,Lubbock,Police and Sheriff's Patrol Officers,710,5.093,27.86,"57,940",27.90,"58,030"
1213, TX,McAllen-Edinburg-Mission,First-Line Supervisors of Police and Detectives,100,0.402,46.26,"96,210",46.66,"97,050"
1214, TX,McAllen-Edinburg-Mission,Correctional Officers and Jailers,990,3.949,20.40,"42,440",20.06,"41,720"
1215, TX,McAllen-Edinburg-Mission,Detectives and Criminal Investigators,"1,370",5.498,35.02,"72,850",37.56,"78,120"
1216, TX,McAllen-Edinburg-Mission,Police and Sheriff's Patrol Officers,"1,570",6.285,22.94,"47,720",21.96,"45,680"
1217, TX,Midland,Detectives and Criminal Investigators,60,0.650,34.58,"71,930",32.51,"67,630"
1218, TX,Midland,Police and Sheriff's Patrol Officers,320,3.686,31.12,"64,730",25.85,"53,770"
1219, TX,Odessa,Police and Sheriff's Patrol Officers,290,4.194,27.01,"56,180",26.66,"55,460"
1220, TX,San Angelo,Correctional Officers and Jailers,190,4.084,17.76,"36,950",17.66,"36,740"
1221, TX,San Angelo,Detectives and Criminal Investigators,60,1.240,39.98,"83,160",39.84,"82,860"
1222, TX,San Angelo,Police and Sheriff's Patrol Officers,390,8.262,25.48,"52,990",24.43,"50,810"
1223, TX,San Antonio-New Braunfels,First-Line Supervisors of Police and Detectives,230,0.234,43.15,"89,740",41.47,"86,250"
1224, TX,San Antonio-New Braunfels,Correctional Officers and Jailers,"2,490",2.551,19.39,"40,320",19.31,"40,170"
1225, TX,San Antonio-New Braunfels,Detectives and Criminal Investigators,"1,510",1.549,34.85,"72,490",33.88,"70,460"
1226, TX,San Antonio-New Braunfels,Police and Sheriff's Patrol Officers,"4,890",4.999,28.17,"58,590",27.62,"57,450"
1227, TX,Sherman-Denison,Detectives and Criminal Investigators,40,0.832,33.92,"70,550",28.57,"59,430"
1228, TX,Sherman-Denison,Police and Sheriff's Patrol Officers,240,5.577,25.87,"53,810",25.68,"53,410"
1229, TX-AR,Texarkana,First-Line Supervisors of Police and Detectives,60,1.097,28.85,"60,010",27.82,"57,870"
1230, TX-AR,Texarkana,Correctional Officers and Jailers,820,14.725,19.31,"40,160",18.78,"39,060"
1231, TX-AR,Texarkana,Detectives and Criminal Investigators,40,0.707,27.27,"56,720",21.21,"44,110"
1232, TX-AR,Texarkana,Police and Sheriff's Patrol Officers,410,7.405,21.74,"45,210",21.05,"43,780"
1233, TX,Tyler,Detectives and Criminal Investigators,80,0.821,34.01,"70,730",26.22,"54,540"
1234, TX,Tyler,Police and Sheriff's Patrol Officers,510,5.101,26.91,"55,970",25.95,"53,970"
1235, TX,Victoria,Detectives and Criminal Investigators,50,1.279,27.05,"56,260",23.36,"48,580"
1236, TX,Victoria,Police and Sheriff's Patrol Officers,210,5.161,23.58,"49,050",22.52,"46,850"
1237, TX,Waco,Correctional Officers and Jailers,840,7.461,19.02,"39,550",18.99,"39,500"
1238, TX,Waco,Detectives and Criminal Investigators,80,0.682,30.22,"62,870",24.61,"51,190"
1239, TX,Waco,Police and Sheriff's Patrol Officers,620,5.519,26.04,"54,170",25.47,"52,980"
1240, TX,Wichita Falls,Police and Sheriff's Patrol Officers,380,6.841,25.69,"53,440",26.07,"54,220"
1241, UT-ID,Logan,First-Line Supervisors of Police and Detectives,50,0.848,28.72,"59,730",28.69,"59,680"
1242, UT-ID,Logan,Police and Sheriff's Patrol Officers,160,3.032,19.77,"41,120",19.54,"40,650"
1243, UT,Ogden-Clearfield,First-Line Supervisors of Police and Detectives,170,0.698,33.77,"70,230",31.62,"65,760"
1244, UT,Ogden-Clearfield,Correctional Officers and Jailers,230,0.933,21.83,"45,400",20.92,"43,520"
1245, UT,Ogden-Clearfield,Detectives and Criminal Investigators,80,0.342,33.81,"70,330",28.76,"59,820"
1246, UT,Ogden-Clearfield,Police and Sheriff's Patrol Officers,870,3.589,21.96,"45,670",21.86,"45,460"
1247, UT,Provo-Orem,First-Line Supervisors of Police and Detectives,120,0.537,37.07,"77,110",35.89,"74,650"
1248, UT,Provo-Orem,Detectives and Criminal Investigators,30,0.142,31.05,"64,590",28.02,"58,280"
1249, UT,Provo-Orem,Police and Sheriff's Patrol Officers,610,2.755,22.58,"46,970",22.72,"47,260"
1250, UT,Provo-Orem,Private Detectives and Investigators,**,**,21.84,"45,420",22.00,"45,750"
1251, UT,St. George,First-Line Supervisors of Police and Detectives,60,1.033,36.16,"75,220",33.86,"70,430"
1252, UT,St. George,Police and Sheriff's Patrol Officers,240,4.019,24.39,"50,720",24.29,"50,530"
1253, UT,Salt Lake City,First-Line Supervisors of Police and Detectives,430,0.629,37.97,"78,990",35.88,"74,630"
1254, UT,Salt Lake City,Correctional Officers and Jailers,"1,160",1.709,20.03,"41,670",18.83,"39,170"
1255, UT,Salt Lake City,Detectives and Criminal Investigators,200,0.294,39.01,"81,140",35.59,"74,020"
1256, UT,Salt Lake City,Police and Sheriff's Patrol Officers,"1,720",2.538,26.07,"54,230",26.59,"55,300"
1257, VA,Blacksburg-Christiansburg-Radford,First-Line Supervisors of Police and Detectives,70,0.943,32.85,"68,330",29.75,"61,870"
1258, VA,Blacksburg-Christiansburg-Radford,Correctional Officers and Jailers,230,3.248,17.16,"35,680",17.07,"35,500"
1259, VA,Blacksburg-Christiansburg-Radford,Detectives and Criminal Investigators,50,0.739,*,*,*,*
1260, VA,Blacksburg-Christiansburg-Radford,Police and Sheriff's Patrol Officers,400,5.843,22.57,"46,950",22.01,"45,780"
1261, VA,Charlottesville,First-Line Supervisors of Police and Detectives,60,0.571,38.52,"80,120",36.97,"76,890"
1262, VA,Charlottesville,Correctional Officers and Jailers,610,5.605,17.14,"35,640",16.86,"35,080"
1263, VA,Charlottesville,Detectives and Criminal Investigators,100,0.878,35.86,"74,590",39.22,"81,570"
1264, VA,Charlottesville,Police and Sheriff's Patrol Officers,330,3.051,22.69,"47,190",22.02,"45,790"
1265, VA,Harrisonburg,Detectives and Criminal Investigators,40,0.634,35.08,"72,960",28.54,"59,350"
1266, VA,Harrisonburg,Police and Sheriff's Patrol Officers,220,3.602,21.51,"44,740",21.13,"43,950"
1267, VA,Lynchburg,First-Line Supervisors of Police and Detectives,80,0.820,38.26,"79,590",38.57,"80,220"
1268, VA,Lynchburg,Correctional Officers and Jailers,250,2.544,17.23,"35,840",17.13,"35,630"
1269, VA,Lynchburg,Detectives and Criminal Investigators,210,2.081,34.85,"72,490",37.87,"78,770"
1270, VA,Lynchburg,Police and Sheriff's Patrol Officers,430,4.343,21.10,"43,880",20.88,"43,430"
1271, VA,Richmond,First-Line Supervisors of Police and Detectives,360,0.557,40.43,"84,100",38.97,"81,060"
1272, VA,Richmond,Correctional Officers and Jailers,"3,170",4.956,19.25,"40,040",17.94,"37,320"
1273, VA,Richmond,Detectives and Criminal Investigators,480,0.745,37.90,"78,830",33.51,"69,700"
1274, VA,Richmond,Fish and Game Wardens,40,0.061,21.76,"45,260",20.00,"41,600"
1275, VA,Richmond,Police and Sheriff's Patrol Officers,"3,280",5.135,24.68,"51,330",23.41,"48,690"
1276, VA,Richmond,Private Detectives and Investigators,90,0.145,28.55,"59,390",28.71,"59,720"
1277, VA,Roanoke,First-Line Supervisors of Police and Detectives,90,0.581,41.25,"85,800",39.07,"81,270"
1278, VA,Roanoke,Correctional Officers and Jailers,510,3.354,19.36,"40,260",18.23,"37,920"
1279, VA,Roanoke,Detectives and Criminal Investigators,190,1.241,39.56,"82,280",39.85,"82,890"
1280, VA,Roanoke,Police and Sheriff's Patrol Officers,740,4.832,21.83,"45,400",21.28,"44,260"
1281, VA,Staunton-Waynesboro,Correctional Officers and Jailers,410,8.687,18.13,"37,710",17.06,"35,490"
1282, VA,Staunton-Waynesboro,Police and Sheriff's Patrol Officers,220,4.577,20.38,"42,390",19.40,"40,340"
1283, VA-NC,Virginia Beach-Norfolk-Newport News,First-Line Supervisors of Police and Detectives,620,0.836,35.15,"73,100",32.75,"68,120"
1284, VA-NC,Virginia Beach-Norfolk-Newport News,Correctional Officers and Jailers,"1,740",2.356,19.28,"40,100",18.40,"38,270"
1285, VA-NC,Virginia Beach-Norfolk-Newport News,Detectives and Criminal Investigators,380,0.517,40.64,"84,530",37.15,"77,270"
1286, VA-NC,Virginia Beach-Norfolk-Newport News,Fish and Game Wardens,90,0.118,22.21,"46,190",21.23,"44,160"
1287, VA-NC,Virginia Beach-Norfolk-Newport News,Police and Sheriff's Patrol Officers,"4,510",6.109,24.56,"51,090",23.53,"48,950"
1288, VA-NC,Virginia Beach-Norfolk-Newport News,Private Detectives and Investigators,60,0.083,30.97,"64,410",32.90,"68,440"
1289, VA-WV,Winchester,First-Line Supervisors of Police and Detectives,**,**,42.30,"87,990",38.97,"81,070"
1290, VA-WV,Winchester,Correctional Officers and Jailers,230,4.065,19.81,"41,200",18.64,"38,770"
1291, VA-WV,Winchester,Detectives and Criminal Investigators,40,0.720,36.61,"76,150",32.17,"66,920"
1292, VA-WV,Winchester,Police and Sheriff's Patrol Officers,190,3.282,25.28,"52,590",23.59,"49,060"
1293, VT,Burlington-South Burlington,First-Line Supervisors of Police and Detectives,60,0.465,41.64,"86,610",38.05,"79,150"
1294, VT,Burlington-South Burlington,Correctional Officers and Jailers,190,1.574,20.50,"42,640",19.84,"41,260"
1295, VT,Burlington-South Burlington,Detectives and Criminal Investigators,100,0.794,40.10,"83,400",38.69,"80,480"
1296, VT,Burlington-South Burlington,Police and Sheriff's Patrol Officers,350,2.866,25.07,"52,140",24.83,"51,650"
1297, WA,Bellingham,First-Line Supervisors of Police and Detectives,70,0.858,52.12,"108,400",51.78,"107,700"
1298, WA,Bellingham,Detectives and Criminal Investigators,290,3.556,46.79,"97,320",41.37,"86,040"
1299, WA,Bellingham,Police and Sheriff's Patrol Officers,270,3.280,35.94,"74,760",36.93,"76,810"
1300, WA,Bremerton-Silverdale,First-Line Supervisors of Police and Detectives,70,0.807,42.98,"89,390",42.85,"89,120"
1301, WA,Bremerton-Silverdale,Detectives and Criminal Investigators,30,0.377,50.97,"106,010",49.64,"103,260"
1302, WA,Bremerton-Silverdale,Police and Sheriff's Patrol Officers,330,3.910,30.35,"63,120",31.91,"66,370"
1303, WA,Kennewick-Richland,First-Line Supervisors of Police and Detectives,110,0.979,45.20,"94,020",45.62,"94,890"
1304, WA,Kennewick-Richland,Correctional Officers and Jailers,430,4.021,22.90,"47,640",22.20,"46,170"
1305, WA,Kennewick-Richland,Detectives and Criminal Investigators,60,0.572,34.24,"71,220",30.12,"62,660"
1306, WA,Kennewick-Richland,Police and Sheriff's Patrol Officers,510,4.722,37.37,"77,730",39.10,"81,330"
1307, WA,Longview,Police and Sheriff's Patrol Officers,130,3.738,32.51,"67,620",33.66,"70,010"
1308, WA,Mount Vernon-Anacortes,First-Line Supervisors of Police and Detectives,40,0.800,47.28,"98,350",47.37,"98,520"
1309, WA,Mount Vernon-Anacortes,Correctional Officers and Jailers,40,0.870,27.01,"56,190",27.53,"57,260"
1310, WA,Mount Vernon-Anacortes,Police and Sheriff's Patrol Officers,180,4.081,36.50,"75,930",36.25,"75,400"
1311, WA,Olympia-Tumwater,First-Line Supervisors of Police and Detectives,100,0.949,45.93,"95,530",45.09,"93,790"
1312, WA,Olympia-Tumwater,Correctional Officers and Jailers,110,1.057,23.89,"49,700",23.43,"48,730"
