STATENAME,COUNTYNAME,ADDRESS_CITY,total_pe_ct
ALABAMA,BLOUNT,BLOUNTSVILLE,3
ALABAMA,BLOUNT,CLEVELAND,3
ALABAMA,BLOUNT,ONEONTA,67
ALABAMA,BLOUNT,SNEAD,4
ALABAMA,BUTLER,GEORGIANA,13
ALABAMA,BUTLER,GREENVILLE,49
ALABAMA,BUTLER,MCKENZIE,2
ALABAMA,CHILTON,CLANTON,64
ALABAMA,CHILTON,JEMISON,5
ALABAMA,CHILTON,MAPLESVILLE,5
ALABAMA,CHILTON,THORSBY,3
ALABAMA,COVINGTON,ANDALUSIA,64
ALABAMA,COVINGTON,FLORALA,3
ALABAMA,COVINGTON,GANTT,0
ALABAMA,COVINGTON,LOCKHART,0
ALABAMA,COVINGTON,OPP,30
ALABAMA,COVINGTON,RED LEVEL,2
ALABAMA,COVINGTON,RIVER FALLS,0
ALABAMA,CRENSHAW,BRANTLEY,3
ALABAMA,CRENSHAW,DOZIER,1
ALABAMA,CRENSHAW,LUVERNE,26
ALABAMA,ETOWAH,ALTOONA,0
ALABAMA,ETOWAH,ATTALLA,27
ALABAMA,ETOWAH,GADSDEN,299
ALABAMA,ETOWAH,GLENCOE,8
ALABAMA,ETOWAH,HOKES BLUFF,7
ALABAMA,ETOWAH,RAINBOW CITY,33
ALABAMA,ETOWAH,SARDIS CITY,4
ALABAMA,ETOWAH,SOUTHSIDE,19
ALABAMA,ETOWAH,WALNUT GROVE,1
ALABAMA,HENRY,ABBEVILLE,37
ALABAMA,HENRY,HEADLAND,19
ALABAMA,HENRY,NEWVILLE,2
ALABAMA,JEFFERSON,ADAMSVILLE,27
ALABAMA,JEFFERSON,BESSEMER,141
ALABAMA,JEFFERSON,BIRMINGHAM,1830
ALABAMA,JEFFERSON,BRIGHTON,8
ALABAMA,JEFFERSON,BROOKSIDE,3
ALABAMA,JEFFERSON,FAIRFIELD,30
ALABAMA,JEFFERSON,FULTONDALE,33
ALABAMA,JEFFERSON,GARDENDALE,41
ALABAMA,JEFFERSON,HOMEWOOD,105
ALABAMA,JEFFERSON,HOOVER,227
ALABAMA,JEFFERSON,HUEYTOWN,47
ALABAMA,JEFFERSON,IRONDALE,43
ALABAMA,JEFFERSON,KIMBERLY,14
ALABAMA,JEFFERSON,LEEDS,28
ALABAMA,JEFFERSON,LIPSCOMB,9
ALABAMA,JEFFERSON,MCCALLA,0
ALABAMA,JEFFERSON,MIDFIELD,20
ALABAMA,JEFFERSON,MORRIS,5
ALABAMA,JEFFERSON,MOUNTAIN BROOK,69
ALABAMA,JEFFERSON,PLEASANT GROVE,20
ALABAMA,JEFFERSON,TARRANT,25
ALABAMA,JEFFERSON,TRAFFORD,1
ALABAMA,JEFFERSON,TRUSSVILLE,71
ALABAMA,JEFFERSON,VESTAVIA HILLS,84
ALABAMA,JEFFERSON,WARRIOR,18
ALABAMA,LAWRENCE,COURTLAND,2
ALABAMA,LAWRENCE,HILLSBORO,3
ALABAMA,LAWRENCE,MOULTON,62
ALABAMA,LAWRENCE,NORTH COURTLAND,0
ALABAMA,LAWRENCE,TOWN CREEK,3
ALABAMA,MACON,NOTASULGA,7
ALABAMA,MACON,SHORTER,6
ALABAMA,MACON,TUSKEGEE,63
ALABAMA,MACON,TUSKEGEE INSTITUTE,24
ALABAMA,RANDOLPH,ROANOKE,29
ALABAMA,RANDOLPH,WADLEY,4
ALABAMA,RANDOLPH,WEDOWEE,42
ALABAMA,SUMTER,CUBA,0
ALABAMA,SUMTER,LIVINGSTON,36
ALABAMA,SUMTER,YORK,11
ALASKA,WRANGELL CITY AND BOROUGH,WRANGELL,13
ARIZONA,MARICOPA,AVONDALE,183
ARIZONA,MARICOPA,BUCKEYE,112
ARIZONA,MARICOPA,CHANDLER,497
ARIZONA,MARICOPA,EL MIRAGE,54
ARIZONA,MARICOPA,FORT MCDOWELL,0
ARIZONA,MARICOPA,GILBERT,341
ARIZONA,MARICOPA,GLENDALE,542
ARIZONA,MARICOPA,GOODYEAR,132
ARIZONA,MARICOPA,MESA,1221
ARIZONA,MARICOPA,PARADISE VALLEY,40
ARIZONA,MARICOPA,PEORIA,275
ARIZONA,MARICOPA,PHOENIX,9168
ARIZONA,MARICOPA,SCOTTSDALE,765
ARIZONA,MARICOPA,SURPRISE,181
ARIZONA,MARICOPA,TEMPE,647
ARIZONA,MARICOPA,TOLLESON,41
ARIZONA,MARICOPA,WICKENBURG,23
ARIZONA,PIMA,MARANA,116
ARIZONA,PIMA,ORO VALLEY,128
ARIZONA,PIMA,SAHUARITA,50
ARIZONA,PIMA,SELLS,167
ARIZONA,PIMA,SOUTH TUCSON,20
ARIZONA,PIMA,TUCSON,2916
ARIZONA,SANTA CRUZ,NOGALES,155
ARIZONA,SANTA CRUZ,PATAGONIA,3
