Unnamed: 0,County,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens
2461,Lake County, South Dakota,12331.0,42.2,57239.0,29526.0,1601.0,12.983537425999513,261.0
3139,Uinta County, Wyoming,20893.0,34.8,53323.0,25636.0,3462.0,16.57014311013258,647.0
432,Dooly County, Georgia,14089.0,42.3,33319.0,16109.0,3013.0,21.385478032507628,535.0
1837,Cape May County, New Jersey,95404.0,48.4,59338.0,34550.0,9695.0,10.162047712884156,4357.0
2586,Angelina County, Texas,87657.0,36.7,44185.0,21486.0,16688.0,19.037840674447,3205.0
1695,Powell County, Montana,6928.0,45.0,43064.0,23620.0,555.0,8.010969976905313,39.0
406,Camden County, Georgia,52092.0,31.5,53327.0,24368.0,7029.0,13.493434692467178,2131.0
945,Winnebago County, Iowa,10580.0,42.8,49278.0,25917.0,1023.0,9.669187145557656,366.0
1270,Prince George's County, Maryland,897693.0,36.1,75925.0,33220.0,84744.0,9.440198375168347,40683.0
1819,Storey County, Nevada,3941.0,54.4,65508.0,34967.0,284.0,7.206292819081451,78.0
1606,Sampson County, North Carolina,63713.0,39.5,36742.0,19871.0,15207.0,23.86797042989657,2801.0
2533,Washington County, Virginia,54562.0,45.3,43835.0,25287.0,7569.0,13.872292071405008,1674.0
1356,Oceana County, Michigan,26152.0,42.6,41952.0,20760.0,5136.0,19.639033343530127,931.0
1450,Stevens County, Minnesota,9762.0,32.9,55941.0,26625.0,1637.0,16.769104691661543,158.0
1577,Dent County, Missouri,15578.0,43.1,38020.0,19929.0,3426.0,21.99255360123251,527.0
2433,Charles Mix County, South Dakota,9277.0,36.3,43376.0,21323.0,1927.0,20.771801228845533,222.0
39,Mississippi County, Arkansas,44199.0,35.9,35003.0,19159.0,11057.0,25.016403086042672,2123.0
1277,Worcester County, Maryland,51441.0,49.4,57227.0,32988.0,5162.0,10.034797146245213,1985.0
2621,Childress County, Texas,7059.0,33.5,37125.0,18745.0,1342.0,19.011191386882,167.0
2468,Meade County, South Dakota,26840.0,36.2,53069.0,25884.0,2353.0,8.766766020864381,201.0
750,Warren County, Illinois,17611.0,39.9,44067.0,23350.0,2533.0,14.383056044517634,724.0
2197,Blaine County, Oklahoma,9777.0,41.7,44216.0,20848.0,1144.0,11.700930755855579,96.0
2757,Nacogdoches County, Texas,65556.0,30.4,38915.0,21343.0,14631.0,22.318323265604977,2711.0
1654,Morton County, North Dakota,29633.0,37.5,63549.0,34715.0,2521.0,8.507407282421623,390.0
82,Crenshaw County, Alabama,13896.0,41.6,37557.0,20455.0,2484.0,17.875647668393782,452.0
1934,Schoharie County, New York,31667.0,43.6,50607.0,25638.0,4273.0,13.493542173240282,1575.0
89,Etowah County, Alabama,103363.0,40.9,40478.0,21287.0,18713.0,18.10415719357991,3837.0
2646,Dickens County, Texas,2237.0,42.8,42118.0,22526.0,391.0,17.478766204738488,100.0
1937,Steuben County, New York,98151.0,42.3,48823.0,26830.0,14558.0,14.832248270521953,3543.0
81,Covington County, Alabama,37729.0,42.9,37313.0,21738.0,7031.0,18.63553234912137,1723.0
1983,Franklin County, North Carolina,62989.0,40.4,44272.0,22394.0,9967.0,15.823397736112652,2438.0
2779,Refugio County, Texas,7315.0,42.8,50145.0,24776.0,1124.0,15.365686944634314,247.0
1925,Otsego County, New York,60979.0,41.6,49689.0,24989.0,9106.0,14.933009724659307,2088.0
2168,Pickaway County, Ohio,56804.0,39.3,58706.0,24779.0,6324.0,11.13301880149285,1599.0
1786,Richardson County, Nebraska,8149.0,47.4,45929.0,26638.0,1439.0,17.658608418210825,193.0
476,Lincoln County, Georgia,7712.0,47.3,34720.0,23582.0,1939.0,25.142634854771785,309.0
1611,Swain County, North Carolina,14234.0,40.7,33598.0,20256.0,3277.0,23.022340873963753,420.0
1954,Avery County, North Carolina,17633.0,44.0,35891.0,21548.0,2509.0,14.229002438609426,562.0
