,County,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Men in Law-Enforcement,Women in Law-Enforcement,Law-Enforcement per 1000,Unemployment Rate (%)
52,Pulaski,Arkansas,391806.0,36.5,47101.0,28421.0,69467.0,17.7299479844617,12463.0,1067.0,389.0,3.716124816873657,3.18091096103684
53,Randolph,Arkansas,17584.0,42.9,36318.0,20059.0,3357.0,19.091219290263876,293.0,73.0,0.0,4.151501364877161,1.666287534121929
54,St. Francis,Arkansas,27023.0,38.0,35066.0,16540.0,5761.0,21.318876512600376,1125.0,187.0,132.0,11.804758909077453,4.163120304925434
55,Saline,Arkansas,115577.0,39.2,57632.0,26963.0,9706.0,8.397864627045173,2714.0,574.0,128.0,6.073872829369165,2.3482180710695038
56,Scott,Arkansas,10661.0,42.0,37861.0,17934.0,2204.0,20.673482787730983,569.0,50.0,11.0,5.7217897007785385,5.337210393021293
57,Searcy,Arkansas,7938.0,47.5,35542.0,20618.0,1619.0,20.395565633660873,131.0,21.0,0.0,2.6455026455026456,1.6502897455278407
58,Sebastian,Arkansas,127351.0,37.1,40023.0,23383.0,27745.0,21.78624431688797,3167.0,267.0,100.0,2.88179912211133,2.486827743794709
59,Sevier,Arkansas,17193.0,35.2,38956.0,17458.0,3804.0,22.125283545629035,533.0,59.0,15.0,4.304077240737509,3.100098877450125
60,Sharp,Arkansas,17027.0,47.9,31068.0,19404.0,3711.0,21.794796499676984,509.0,21.0,19.0,2.349210078111235,2.9893698243965465
61,Stone,Arkansas,12503.0,49.1,30486.0,19616.0,2925.0,23.394385347516597,382.0,83.0,0.0,6.638406782372231,3.055266735983364
62,Autauga,Alabama,55049.0,37.8,53099.0,26168.0,6697.0,12.165525259314428,1437.0,543.0,30.0,10.40890842703773,2.6104016421733363
63,Baldwin,Alabama,199510.0,42.3,51365.0,28069.0,25551.0,12.806876848278282,5887.0,521.0,87.0,3.04746629241642,2.950729286752544
64,Barbour,Alabama,26614.0,38.7,33956.0,17249.0,6235.0,23.427519350717667,1323.0,197.0,8.0,7.702712857894341,4.971067859021567
65,Bibb,Alabama,22572.0,40.2,39776.0,18988.0,3390.0,15.018607123870282,643.0,94.0,4.0,4.3416622363990784,2.848662059188375
66,Blount,Alabama,57704.0,40.8,46212.0,21033.0,9441.0,16.361084153611536,1367.0,268.0,30.0,5.164286704561208,2.3689865520587827
67,Bullock,Alabama,10552.0,39.2,29335.0,17909.0,2728.0,25.85291887793783,638.0,84.0,17.0,9.571645185746778,6.046247156937073
68,Butler,Alabama,20280.0,40.6,34315.0,19011.0,5126.0,25.276134122287967,849.0,88.0,40.0,6.3116370808678495,4.186390532544379
69,Calhoun,Alabama,115883.0,39.1,41954.0,22231.0,22135.0,19.10116237929636,6218.0,569.0,67.0,5.488294227798728,5.365756840951649
70,Chambers,Alabama,34018.0,43.1,36027.0,21532.0,6805.0,20.004115468281498,1136.0,113.0,10.0,3.615732847316127,3.3394085484155447
71,Cherokee,Alabama,25897.0,45.7,38925.0,22544.0,4188.0,16.171757346410782,634.0,148.0,0.0,5.714947677337143,2.4481600185349657
72,Chilton,Alabama,43817.0,38.7,42594.0,22045.0,8779.0,20.035602619987674,1520.0,226.0,0.0,5.157815459753064,3.4689732295684323
73,Choctaw,Alabama,13287.0,45.1,32622.0,20773.0,2743.0,20.644238729585307,673.0,15.0,0.0,1.1289230074508918,5.065101226763002
74,Clarke,Alabama,24847.0,42.0,32735.0,20543.0,6023.0,24.24035094780054,1681.0,81.0,0.0,3.2599508995049704,6.765404274157846
75,Clay,Alabama,13483.0,43.7,38815.0,21115.0,2195.0,16.27975969739672,386.0,15.0,7.0,1.6316843432470518,2.8628643476971
76,Cleburne,Alabama,14991.0,41.5,36316.0,19791.0,2889.0,19.271562937762656,450.0,16.0,1.0,1.1340137415782803,3.0018010806483892
77,Coffee,Alabama,50991.0,39.3,47872.0,25325.0,8219.0,16.118530721107646,1410.0,216.0,15.0,4.530211213743602,2.765193857739601
78,Colbert,Alabama,54377.0,42.4,43786.0,23318.0,8910.0,16.385604207661327,1795.0,83.0,26.0,2.0045239715320817,3.3010280081652166
79,Conecuh,Alabama,12697.0,44.0,27609.0,16004.0,4107.0,32.346223517366305,974.0,28.0,0.0,2.2052453335433566,7.67110341025439
80,Coosa,Alabama,10864.0,44.9,31910.0,18080.0,1610.0,14.81958762886598,539.0,42.0,14.0,5.154639175257732,4.961340206185567
81,Covington,Alabama,37729.0,42.9,37313.0,21738.0,7031.0,18.635532349121366,1723.0,110.0,68.0,4.717856290916801,4.566778870364971
82,Crenshaw,Alabama,13896.0,41.6,37557.0,20455.0,2484.0,17.875647668393782,452.0,34.0,2.0,2.5906735751295336,3.2527345998848585
83,Cullman,Alabama,81316.0,40.5,39297.0,21041.0,13718.0,16.869988686113434,2081.0,270.0,43.0,3.8491809729942448,2.559151950415662
84,Dale,Alabama,49607.0,36.9,44093.0,22834.0,9897.0,19.950813393271112,2145.0,120.0,38.0,3.185034370149374,4.323986534158486
85,Dallas,Alabama,41426.0,38.9,28136.0,17611.0,14027.0,33.86037754067494,2517.0,261.0,17.0,6.710761357601506,6.075894365857191
86,DeKalb,Alabama,70937.0,39.3,38248.0,18685.0,13872.0,19.55538012602732,1894.0,272.0,35.0,4.327783808167811,2.6699747663419657
87,Elmore,Alabama,80957.0,38.3,53398.0,24771.0,10893.0,13.455291080450115,2694.0,496.0,125.0,7.670738787257433,3.327692478723273
88,Escambia,Alabama,37875.0,39.9,32334.0,17420.0,8894.0,23.48250825082508,2153.0,206.0,51.0,6.785478547854785,5.684488448844884
89,Etowah,Alabama,103363.0,40.9,40478.0,21287.0,18713.0,18.10415719357991,3837.0,375.0,21.0,3.8311581513694457,3.7121600572738793
90,Fayette,Alabama,16783.0,43.6,36205.0,20201.0,2863.0,17.058928677828757,598.0,72.0,0.0,4.290055413215754,3.5631293570875293
91,Franklin,Alabama,31573.0,39.1,36138.0,18193.0,6951.0,22.01564628004941,1323.0,73.0,21.0,2.9772273778228233,4.190289171127229
92,Geneva,Alabama,26765.0,42.0,36519.0,20189.0,6011.0,22.45843452269755,1175.0,107.0,5.0,4.18456940033626,4.390061647674201
93,Greene,Alabama,8587.0,41.3,21339.0,13679.0,3233.0,37.6499359496914,521.0,0.0,0.0,0.0,6.067311051589612
94,Hale,Alabama,15159.0,39.7,33351.0,19296.0,3858.0,25.45022758757174,691.0,26.0,14.0,2.638696483936935,4.558348176001056
95,Henry,Alabama,17187.0,43.2,41045.0,22825.0,2586.0,15.046255891080468,574.0,32.0,33.0,3.7819282015476814,3.3397335195205677
96,Houston,Alabama,103891.0,39.3,41945.0,24086.0,19415.0,18.687855540903445,3845.0,376.0,64.0,4.235208054595682,3.700994311345545
97,Jackson,Alabama,52608.0,42.8,38422.0,20487.0,9780.0,18.590328467153284,1975.0,187.0,60.0,4.695103406326035,3.754181873479319
98,Jefferson,Alabama,659096.0,37.5,47220.0,28162.0,116750.0,17.7136562807239,26632.0,1720.0,377.0,3.181630597060216,4.040686030563075
99,Lamar,Alabama,14066.0,44.3,34298.0,20206.0,3322.0,23.617233044220104,542.0,28.0,39.0,4.763258922223802,3.8532631878288073
100,Lauderdale,Alabama,92641.0,41.3,43657.0,24893.0,16538.0,17.851707127513738,3249.0,358.0,72.0,4.641573385434095,3.50708649518032
101,Lawrence,Alabama,33433.0,42.2,42339.0,21911.0,6050.0,18.095893279095506,1145.0,96.0,26.0,3.6490892232225645,3.4247599676965867
